time,sku,itemCondition,comment,link,platform,amount,shelfLocation,ownerName
01/26/2024 12:05 PM,30000,NEW,"2X3FT., 90X60CM",Woolous New Zealand Black Sheepskin Rug - Real Sheepskin Rug for Living Room - Bedside Rugs for Kids Rooms Decor - Handmade Washable Rug 2x3 Feet (Black) https://a.co/d/isezCBM,Amazon,1,K22,Wentao Guo
01/26/2024 12:22 PM,30001,NEW,"POWER TEST, NO PART LIST, ALL MAIN PART IN","Zapuno Laptop Lap Desk, Foldable Laptop Tray with 4 USB Ports Storage Drawer and Cup Holder, Desk Stand for Bed Lap Tray Portable Standing Table for Bed Couch Floor https://a.co/d/6Dv4FVL",Amazon,1,K22,Wentao Guo
01/26/2024 12:31 PM,30002,NEW,19.6”X9.1”X1.52,"<h1 style=""font-weight:600;color:rgb(33, 37, 41);text-align:center;background-color:rgb(223, 223, 223)"">ALLSTARE CAST IRON REPLACEMENT GAS RANGE STOVE BURNER GRATE - 19.6"" X 9.1"" X 1.52"" - BLACK - (MODEL: LJ21120701E / ALL-22)</h1><p><br /></p>",Amazon,2,D22,Wentao Guo
01/26/2024 12:43 PM,30003,NEW,"API.,POWER TEST","BEABA Babycook Neo, 4 in 1 Glass Baby Food Maker, Baby Food Processor, Baby Food Blender, Steams and Blends, Easy Clean Reservoir, 5.5 Cup Capacity, Midnight https://a.co/d/2fjdmFA",Amazon,1,H14,Wentao Guo
01/26/2024 1:12 PM,30004,NEW,"S101, ROUND, API.","Brondell Bidet Toilet Seat Non-Electric Swash Seat, Fits Round Toilets, White – Dual Nozzle System, Ambient Water Temperature – Bidet with Easy Installation https://a.co/d/fym2aHL",Amazon,1,N23,Wentao Guo
01/26/2024 1:27 PM,30005,NEW,250FT.,"Outwater Industries 250 Foot Black 3/4 Inch Center Barb Tee Moulding T Molding Commercial, Large Projects https://a.co/d/ewcz5fE",Amazon,1,M23,Wentao Guo
01/26/2024 1:45 PM,30006,NEW,"NO PART LIST, API., 50”X50”X25”","Pet Whelping Box | Pet Rails | Whelping Box for Dogs and Puppies - Indoor Dog Whelping Pen with Rails- Sanitary Dog Whelping Box - Puppy Playpen or Small Puppies - Size 50""x50"" Gray<br /><a href=""https://a.co/d/fkFNeKl"">https://a.co/d/fkFNeKl</a>",Amazon,1,K22,Wentao Guo
01/26/2024 2:01 PM,30007,NEW,API.,"XIGOO Storage-Stand-Docking-Station-Holder Compatible with Dyson V15 Detect V11 V10 V8 V7 V6 Cordless Vacuum Cleaners & Accessories, Stable Metal Bracket Organizer Rack, Brushed Black https://a.co/d/a9KYC8i",Amazon,1,N22,Wentao Guo
01/26/2024 2:08 PM,30008,NEW,API.,"Shower Stone Bath Mat, Dark Gray, Set of 3 - Drying Stone Bath Mats for Bathroom, Kitchen Counter, Dish Drying - Quick Dry, Super Absorbing, Non-Slip Dry Stone Bath Mat for Soap, Diatomite Mats… https://a.co/d/i0e2Bkq",Amazon,1,N23,Wentao Guo
01/26/2024 2:24 PM,30009,NEW,"POWER TEST, API.","Phenyx Pro Wireless Microphone System, Quad Channel Wireless Mic, w/ 4 Handheld Dynamic Microphones, 4x40 Channels, Auto Scan, Long Distance 328ft, Microphone for Singing, Church, Karaoke (PTU-7000A) https://a.co/d/7YMRE9o",Amazon,1,N22,Wentao Guo
